Store ID,Region,State,City,Postal Code
S001,South,Kerala,Kochi,682001
S001,North,Punjab,Ludhiana,141001
S001,South,Andhra Pradesh,Hyderabad,500001
S001,West,Goa,Panaji,403001
S001,West,Goa,Panaji,403001
S001,West,Gujarat,Ahmedabad,380001
S001,South,Andhra Pradesh,Hyderabad,500001
S001,West,Goa,Panaji,403001
S001,North,Jammu & Kashmir,Srinagar,190001
S001,South,Karnataka,Bangalore,560001
S001,East,Assam,Guwahati,781001
S001,South,Telangana,Warangal,506002
S001,West,Madhya Pradesh,Bhopal,462001
S002,North,Jammu & Kashmir,Srinagar,190001
S002,West,Maharashtra,Mumbai,400001
S002,North,Punjab,Ludhiana,141001
S002,North,Haryana,Gurgaon,122001
S002,East,West Bengal,Kolkata,700001
S002,East,Bihar,Patna,800001
S002,South,Tamil Nadu,Chennai,600001
S002,South,Karnataka,Bangalore,560001
S002,South,Kerala,Kochi,682001
S002,East,Jharkhand,Ranchi,834001
S002,East,Odisha,Bhubaneswar,751001
S002,West,Rajasthan,Jaipur,302001
S002,West,Gujarat,Ahmedabad,380001
S002,North,Jammu & Kashmir,Srinagar,190001
S002,North,Punjab,Ludhiana,141001
S002,West,Madhya Pradesh,Bhopal,462001
S002,East,West Bengal,Kolkata,700001
S002,South,Kerala,Kochi,682001
S002,South,Karnataka,Bangalore,560001
S002,North,Jammu & Kashmir,Srinagar,190001
S003,West,Rajasthan,Jaipur,302001
S003,North,Uttar Pradesh,Lucknow,226001
S003,South,Karnataka,Bangalore,560001
S003,North,Punjab,Ludhiana,141001
S003,West,Rajasthan,Jaipur,302001
S003,South,Kerala,Kochi,682001
S003,West,Goa,Panaji,403001
S003,South,Andhra Pradesh,Hyderabad,500001
S003,North,Delhi,New Delhi,110001
S003,North,Punjab,Ludhiana,141001
S003,North,Uttar Pradesh,Lucknow,226001
S003,North,Delhi,New Delhi,110001
S003,West,Goa,Panaji,403001
S003,East,Bihar,Patna,800001
S003,West,Goa,Panaji,403001
S003,West,Rajasthan,Jaipur,302001
S003,East,West Bengal,Kolkata,700001
S003,South,Tamil Nadu,Chennai,600001
S003,North,Delhi,New Delhi,110001
S003,South,Kerala,Kochi,682001
S004,North,Haryana,Gurgaon,122001
S004,East,Assam,Guwahati,781001
S004,South,Karnataka,Bangalore,560001
S004,North,Haryana,Gurgaon,122001
S004,South,Tamil Nadu,Chennai,600001
S004,South,Tamil Nadu,Chennai,600001
S004,North,Jammu & Kashmir,Srinagar,190001
S004,South,Karnataka,Bangalore,560001
S004,North,Delhi,New Delhi,110001
S004,East,Odisha,Bhubaneswar,751001
S004,East,Bihar,Patna,800001
S004,West,Maharashtra,Mumbai,400001
S004,South,Karnataka,Bangalore,560001
S004,North,Uttar Pradesh,Lucknow,226001
S004,North,Uttar Pradesh,Lucknow,226001
S004,West,Rajasthan,Jaipur,302001
S004,West,Maharashtra,Mumbai,400001
S004,South,Kerala,Kochi,682001
S004,West,Gujarat,Ahmedabad,380001
S004,East,Odisha,Bhubaneswar,751001
S005,South,Tamil Nadu,Chennai,600001
S005,West,Maharashtra,Mumbai,400001
S005,North,Delhi,New Delhi,110001
S005,West,Gujarat,Ahmedabad,380001
S005,South,Kerala,Kochi,682001
S005,West,Rajasthan,Jaipur,302001
S005,East,Bihar,Patna,800001
S005,South,Andhra Pradesh,Hyderabad,500001
S005,East,Assam,Guwahati,781001
S005,North,Jammu & Kashmir,Srinagar,190001
S005,West,Goa,Panaji,403001
S005,East,Odisha,Bhubaneswar,751001
S005,West,Maharashtra,Mumbai,400001
S005,North,Jammu & Kashmir,Srinagar,190001
S005,West,Gujarat,Ahmedabad,380001
S005,West,Gujarat,Ahmedabad,380001
S005,North,Delhi,New Delhi,110001
S005,North,Delhi,New Delhi,110001
S005,South,Karnataka,Bangalore,560001
S005,South,Karnataka,Bangalore,560001
S001,East,West Bengal,Kolkata,700001
S001,South,Tamil Nadu,Chennai,600001
S001,North,Punjab,Ludhiana,141001
S001,West,Gujarat,Ahmedabad,380001
S001,North,Delhi,New Delhi,110001
S001,West,Madhya Pradesh,Bhopal,462001
S001,South,Andhra Pradesh,Hyderabad,500001
S001,South,Andhra Pradesh,Hyderabad,500001
S001,East,Assam,Guwahati,781001
S001,South,Andhra Pradesh,Hyderabad,500001
S001,North,Haryana,Gurgaon,122001
S001,West,Maharashtra,Mumbai,400001
S001,South,Kerala,Kochi,682001
S001,West,Madhya Pradesh,Bhopal,462001
S001,West,Goa,Panaji,403001
S001,East,Bihar,Patna,800001
S001,West,Goa,Panaji,403001
S001,South,Telangana,Warangal,506002
S001,North,Haryana,Gurgaon,122001
S001,North,Jammu & Kashmir,Srinagar,190001
S002,South,Tamil Nadu,Chennai,600001
S002,West,Madhya Pradesh,Bhopal,462001
S002,West,Rajasthan,Jaipur,302001
S002,North,Punjab,Ludhiana,141001
S002,East,Odisha,Bhubaneswar,751001
S002,South,Telangana,Warangal,506002
S002,East,Assam,Guwahati,781001
S002,South,Karnataka,Bangalore,560001
S002,South,Andhra Pradesh,Hyderabad,500001
S002,East,Jharkhand,Ranchi,834001
S002,South,Telangana,Warangal,506002
S002,West,Rajasthan,Jaipur,302001
S002,West,Rajasthan,Jaipur,302001
S002,North,Jammu & Kashmir,Srinagar,190001
S002,South,Karnataka,Bangalore,560001
S002,East,West Bengal,Kolkata,700001
S002,East,Odisha,Bhubaneswar,751001
S002,North,Uttar Pradesh,Lucknow,226001
S002,North,Delhi,New Delhi,110001
S002,West,Madhya Pradesh,Bhopal,462001
S003,South,Karnataka,Bangalore,560001
S003,South,Kerala,Kochi,682001
S003,South,Telangana,Warangal,506002
S003,East,Assam,Guwahati,781001
S003,South,Kerala,Kochi,682001
S003,West,Rajasthan,Jaipur,302001
S003,South,Kerala,Kochi,682001
S003,East,Bihar,Patna,800001
S003,East,Odisha,Bhubaneswar,751001
S003,South,Andhra Pradesh,Hyderabad,500001
S003,West,Goa,Panaji,403001
S003,East,Jharkhand,Ranchi,834001
S003,South,Tamil Nadu,Chennai,600001
S003,North,Delhi,New Delhi,110001
S003,North,Haryana,Gurgaon,122001
S003,North,Punjab,Ludhiana,141001
S003,West,Rajasthan,Jaipur,302001
S003,South,Tamil Nadu,Chennai,600001
S003,East,Odisha,Bhubaneswar,751001
S003,South,Kerala,Kochi,682001
S004,West,Goa,Panaji,403001
S004,South,Telangana,Warangal,506002
S004,North,Punjab,Ludhiana,141001
S004,East,Assam,Guwahati,781001
S004,North,Uttar Pradesh,Lucknow,226001
S004,East,Jharkhand,Ranchi,834001
S004,North,Haryana,Gurgaon,122001
S004,East,Jharkhand,Ranchi,834001
S004,South,Kerala,Kochi,682001
S004,East,Assam,Guwahati,781001
S004,South,Kerala,Kochi,682001
S004,West,Goa,Panaji,403001
S004,South,Tamil Nadu,Chennai,600001
S004,East,Odisha,Bhubaneswar,751001
S004,East,Assam,Guwahati,781001
S004,North,Delhi,New Delhi,110001
S004,East,Jharkhand,Ranchi,834001
S004,East,Assam,Guwahati,781001
S004,East,Assam,Guwahati,781001
S004,East,Jharkhand,Ranchi,834001
S005,East,Assam,Guwahati,781001
S005,South,Kerala,Kochi,682001
S005,West,Rajasthan,Jaipur,302001
S005,West,Goa,Panaji,403001
S005,West,Madhya Pradesh,Bhopal,462001
S005,West,Rajasthan,Jaipur,302001
S005,East,Odisha,Bhubaneswar,751001
S005,West,Maharashtra,Mumbai,400001
S005,South,Andhra Pradesh,Hyderabad,500001
S005,North,Haryana,Gurgaon,122001
S005,North,Haryana,Gurgaon,122001
S005,East,Bihar,Patna,800001
S005,East,Assam,Guwahati,781001
S005,West,Gujarat,Ahmedabad,380001
S005,East,Odisha,Bhubaneswar,751001
S005,East,Jharkhand,Ranchi,834001
S005,West,Gujarat,Ahmedabad,380001
S005,East,West Bengal,Kolkata,700001
S005,South,Kerala,Kochi,682001
S005,North,Jammu & Kashmir,Srinagar,190001
S001,South,Andhra Pradesh,Hyderabad,500001
S001,West,Gujarat,Ahmedabad,380001
S001,South,Tamil Nadu,Chennai,600001
S001,East,Jharkhand,Ranchi,834001
S001,South,Telangana,Warangal,506002
S001,West,Maharashtra,Mumbai,400001
S001,North,Jammu & Kashmir,Srinagar,190001
S001,South,Kerala,Kochi,682001
S001,South,Tamil Nadu,Chennai,600001
S001,West,Gujarat,Ahmedabad,380001
S001,West,Rajasthan,Jaipur,302001
S001,North,Jammu & Kashmir,Srinagar,190001
S001,North,Delhi,New Delhi,110001
S001,South,Telangana,Warangal,506002
S001,South,Andhra Pradesh,Hyderabad,500001
S001,North,Jammu & Kashmir,Srinagar,190001
S001,West,Rajasthan,Jaipur,302001
S001,South,Andhra Pradesh,Hyderabad,500001
S001,East,Bihar,Patna,800001
S001,West,Goa,Panaji,403001
S002,South,Kerala,Kochi,682001
S002,West,Maharashtra,Mumbai,400001
S002,East,Bihar,Patna,800001
S002,North,Punjab,Ludhiana,141001
S002,South,Tamil Nadu,Chennai,600001
S002,West,Madhya Pradesh,Bhopal,462001
S002,West,Gujarat,Ahmedabad,380001
S002,East,West Bengal,Kolkata,700001
S002,West,Gujarat,Ahmedabad,380001
S002,North,Jammu & Kashmir,Srinagar,190001
S002,South,Karnataka,Bangalore,560001
S002,West,Rajasthan,Jaipur,302001
S002,North,Haryana,Gurgaon,122001
S002,South,Kerala,Kochi,682001
S002,North,Delhi,New Delhi,110001
S002,West,Rajasthan,Jaipur,302001
S002,North,Punjab,Ludhiana,141001
S002,East,Odisha,Bhubaneswar,751001
S002,South,Telangana,Warangal,506002
S002,East,West Bengal,Kolkata,700001
S003,North,Uttar Pradesh,Lucknow,226001
S003,South,Telangana,Warangal,506002
S003,East,Odisha,Bhubaneswar,751001
S003,West,Gujarat,Ahmedabad,380001
S003,West,Maharashtra,Mumbai,400001
S003,East,Odisha,Bhubaneswar,751001
S003,West,Goa,Panaji,403001
S003,West,Madhya Pradesh,Bhopal,462001
S003,South,Karnataka,Bangalore,560001
S003,South,Karnataka,Bangalore,560001
S003,North,Jammu & Kashmir,Srinagar,190001
S003,East,Assam,Guwahati,781001
S003,North,Uttar Pradesh,Lucknow,226001
S003,East,Assam,Guwahati,781001
S003,South,Kerala,Kochi,682001
S003,South,Andhra Pradesh,Hyderabad,500001
S003,South,Telangana,Warangal,506002
S003,South,Karnataka,Bangalore,560001
S003,West,Maharashtra,Mumbai,400001
S003,West,Rajasthan,Jaipur,302001
S004,East,Jharkhand,Ranchi,834001
S004,East,Bihar,Patna,800001
S004,West,Goa,Panaji,403001
S004,West,Maharashtra,Mumbai,400001
S004,South,Andhra Pradesh,Hyderabad,500001
S004,South,Karnataka,Bangalore,560001
S004,East,Odisha,Bhubaneswar,751001
S004,North,Uttar Pradesh,Lucknow,226001
S004,East,Jharkhand,Ranchi,834001
S004,South,Kerala,Kochi,682001
S004,South,Tamil Nadu,Chennai,600001
S004,East,Bihar,Patna,800001
S004,South,Karnataka,Bangalore,560001
S004,East,West Bengal,Kolkata,700001
S004,North,Punjab,Ludhiana,141001
S004,South,Kerala,Kochi,682001
S004,East,West Bengal,Kolkata,700001
S004,North,Punjab,Ludhiana,141001
S004,North,Uttar Pradesh,Lucknow,226001
S004,West,Gujarat,Ahmedabad,380001
S005,East,Bihar,Patna,800001
S005,South,Telangana,Warangal,506002
S005,West,Maharashtra,Mumbai,400001
S005,North,Haryana,Gurgaon,122001
S005,West,Gujarat,Ahmedabad,380001
S005,East,Odisha,Bhubaneswar,751001
S005,East,Bihar,Patna,800001
S005,South,Kerala,Kochi,682001
S005,East,West Bengal,Kolkata,700001
S005,South,Andhra Pradesh,Hyderabad,500001
S005,South,Andhra Pradesh,Hyderabad,500001
S005,South,Kerala,Kochi,682001
S005,South,Kerala,Kochi,682001
S005,South,Tamil Nadu,Chennai,600001
S005,West,Maharashtra,Mumbai,400001
S005,East,Bihar,Patna,800001
S005,North,Delhi,New Delhi,110001
S005,North,Uttar Pradesh,Lucknow,226001
S005,South,Andhra Pradesh,Hyderabad,500001
S005,North,Jammu & Kashmir,Srinagar,190001
S001,North,Haryana,Gurgaon,122001
S001,West,Gujarat,Ahmedabad,380001
S001,West,Gujarat,Ahmedabad,380001
S001,North,Punjab,Ludhiana,141001
S001,East,Assam,Guwahati,781001
S001,South,Tamil Nadu,Chennai,600001
S001,North,Uttar Pradesh,Lucknow,226001
S001,North,Uttar Pradesh,Lucknow,226001
S001,West,Gujarat,Ahmedabad,380001
S001,West,Gujarat,Ahmedabad,380001
S001,West,Goa,Panaji,403001
S001,East,Assam,Guwahati,781001
S001,South,Telangana,Warangal,506002
S001,North,Uttar Pradesh,Lucknow,226001
S001,North,Haryana,Gurgaon,122001
S001,East,Odisha,Bhubaneswar,751001
S001,North,Delhi,New Delhi,110001
S001,West,Maharashtra,Mumbai,400001
S001,South,Karnataka,Bangalore,560001
S001,East,Jharkhand,Ranchi,834001
S002,West,Rajasthan,Jaipur,302001
S002,North,Jammu & Kashmir,Srinagar,190001
S002,South,Karnataka,Bangalore,560001
S002,East,Odisha,Bhubaneswar,751001
S002,East,West Bengal,Kolkata,700001
S002,East,Assam,Guwahati,781001
S002,East,West Bengal,Kolkata,700001
S002,East,Assam,Guwahati,781001
S002,East,Odisha,Bhubaneswar,751001
S002,North,Uttar Pradesh,Lucknow,226001
S002,South,Telangana,Warangal,506002
S002,North,Uttar Pradesh,Lucknow,226001
S002,West,Goa,Panaji,403001
S002,West,Rajasthan,Jaipur,302001
S002,North,Uttar Pradesh,Lucknow,226001
S002,North,Jammu & Kashmir,Srinagar,190001
S002,East,Bihar,Patna,800001
S002,North,Delhi,New Delhi,110001
S002,South,Tamil Nadu,Chennai,600001
S002,East,Odisha,Bhubaneswar,751001
S003,West,Gujarat,Ahmedabad,380001
S003,East,Bihar,Patna,800001
S003,West,Gujarat,Ahmedabad,380001
S003,North,Jammu & Kashmir,Srinagar,190001
S003,South,Karnataka,Bangalore,560001
S003,East,West Bengal,Kolkata,700001
S003,North,Uttar Pradesh,Lucknow,226001
S003,East,Assam,Guwahati,781001
S003,North,Jammu & Kashmir,Srinagar,190001
S003,North,Haryana,Gurgaon,122001
S003,West,Madhya Pradesh,Bhopal,462001
S003,East,West Bengal,Kolkata,700001
S003,West,Goa,Panaji,403001
S003,East,Odisha,Bhubaneswar,751001
S003,East,Assam,Guwahati,781001
S003,West,Maharashtra,Mumbai,400001
S003,South,Telangana,Warangal,506002
S003,West,Goa,Panaji,403001
S003,South,Telangana,Warangal,506002
S003,East,Jharkhand,Ranchi,834001
S004,East,West Bengal,Kolkata,700001
S004,South,Karnataka,Bangalore,560001
S004,North,Delhi,New Delhi,110001
S004,East,Jharkhand,Ranchi,834001
S004,South,Andhra Pradesh,Hyderabad,500001
S004,North,Delhi,New Delhi,110001
S004,South,Kerala,Kochi,682001
S004,South,Andhra Pradesh,Hyderabad,500001
S004,West,Madhya Pradesh,Bhopal,462001
S004,South,Andhra Pradesh,Hyderabad,500001
S004,North,Haryana,Gurgaon,122001
S004,West,Rajasthan,Jaipur,302001
S004,West,Rajasthan,Jaipur,302001
S004,East,Assam,Guwahati,781001
S004,East,West Bengal,Kolkata,700001
S004,North,Uttar Pradesh,Lucknow,226001
S004,South,Tamil Nadu,Chennai,600001
S004,East,West Bengal,Kolkata,700001
S004,East,Bihar,Patna,800001
S004,South,Tamil Nadu,Chennai,600001
S005,West,Goa,Panaji,403001
S005,South,Kerala,Kochi,682001
S005,North,Punjab,Ludhiana,141001
S005,West,Gujarat,Ahmedabad,380001
S005,North,Punjab,Ludhiana,141001
S005,East,Assam,Guwahati,781001
S005,West,Rajasthan,Jaipur,302001
S005,West,Maharashtra,Mumbai,400001
S005,North,Delhi,New Delhi,110001
S005,West,Maharashtra,Mumbai,400001
S005,North,Punjab,Ludhiana,141001
S005,North,Haryana,Gurgaon,122001
S005,South,Andhra Pradesh,Hyderabad,500001
S005,West,Madhya Pradesh,Bhopal,462001
S005,North,Delhi,New Delhi,110001
S005,North,Haryana,Gurgaon,122001
S005,South,Kerala,Kochi,682001
S005,South,Tamil Nadu,Chennai,600001
S005,West,Goa,Panaji,403001
S005,West,Madhya Pradesh,Bhopal,462001
S001,South,Andhra Pradesh,Hyderabad,500001
S001,South,Andhra Pradesh,Hyderabad,500001
S001,West,Goa,Panaji,403001
S001,East,Odisha,Bhubaneswar,751001
S001,South,Andhra Pradesh,Hyderabad,500001
S001,North,Uttar Pradesh,Lucknow,226001
S001,West,Maharashtra,Mumbai,400001
S001,South,Tamil Nadu,Chennai,600001
S001,South,Telangana,Warangal,506002
S001,South,Telangana,Warangal,506002
S001,North,Uttar Pradesh,Lucknow,226001
S001,West,Madhya Pradesh,Bhopal,462001
S001,East,Jharkhand,Ranchi,834001
S001,West,Maharashtra,Mumbai,400001
S001,East,West Bengal,Kolkata,700001
S001,West,Rajasthan,Jaipur,302001
S001,North,Haryana,Gurgaon,122001
S001,East,Odisha,Bhubaneswar,751001
S001,South,Karnataka,Bangalore,560001
S001,North,Delhi,New Delhi,110001
S002,North,Jammu & Kashmir,Srinagar,190001
S002,South,Tamil Nadu,Chennai,600001
S002,East,West Bengal,Kolkata,700001
S002,North,Delhi,New Delhi,110001
S002,East,Jharkhand,Ranchi,834001
S002,North,Jammu & Kashmir,Srinagar,190001
S002,North,Delhi,New Delhi,110001
S002,South,Kerala,Kochi,682001
S002,West,Gujarat,Ahmedabad,380001
S002,East,West Bengal,Kolkata,700001
S002,East,Bihar,Patna,800001
S002,East,West Bengal,Kolkata,700001
S002,South,Karnataka,Bangalore,560001
S002,North,Haryana,Gurgaon,122001
S002,West,Madhya Pradesh,Bhopal,462001
S002,West,Gujarat,Ahmedabad,380001
S002,East,Bihar,Patna,800001
S002,North,Haryana,Gurgaon,122001
S002,South,Tamil Nadu,Chennai,600001
S002,South,Telangana,Warangal,506002
S003,South,Andhra Pradesh,Hyderabad,500001
S003,West,Rajasthan,Jaipur,302001
S003,West,Gujarat,Ahmedabad,380001
S003,East,Jharkhand,Ranchi,834001
S003,North,Haryana,Gurgaon,122001
S003,West,Goa,Panaji,403001
S003,East,Odisha,Bhubaneswar,751001
S003,South,Karnataka,Bangalore,560001
S003,South,Telangana,Warangal,506002
S003,South,Kerala,Kochi,682001
S003,South,Karnataka,Bangalore,560001
S003,West,Rajasthan,Jaipur,302001
S003,East,West Bengal,Kolkata,700001
S003,East,West Bengal,Kolkata,700001
S003,West,Madhya Pradesh,Bhopal,462001
S003,East,Jharkhand,Ranchi,834001
S003,East,Bihar,Patna,800001
S003,South,Karnataka,Bangalore,560001
S003,East,West Bengal,Kolkata,700001
S003,South,Karnataka,Bangalore,560001
S004,West,Madhya Pradesh,Bhopal,462001
S004,West,Gujarat,Ahmedabad,380001
S004,South,Andhra Pradesh,Hyderabad,500001
S004,East,West Bengal,Kolkata,700001
S004,West,Madhya Pradesh,Bhopal,462001
S004,West,Madhya Pradesh,Bhopal,462001
S004,East,Assam,Guwahati,781001
S004,West,Goa,Panaji,403001
S004,South,Tamil Nadu,Chennai,600001
S004,South,Telangana,Warangal,506002
S004,North,Punjab,Ludhiana,141001
S004,North,Delhi,New Delhi,110001
S004,East,West Bengal,Kolkata,700001
S004,West,Maharashtra,Mumbai,400001
S004,East,Odisha,Bhubaneswar,751001
S004,North,Delhi,New Delhi,110001
